ID,Xshape,Yshape,File_Extension
806,300,291,jpg
807,300,450,jpg
808,300,225,jpg
809,300,482,jpg
810,300,199,jpg
811,300,449,jpg
812,300,323,jpg
813,300,268,jpg
814,300,400,jpg
815,300,400,jpg
816,300,451,jpg
817,300,199,jpg
818,300,480,jpg
819,300,199,jpg
820,300,400,jpg
821,300,200,jpg
822,300,199,jpg
823,300,149,jpg
824,300,356,jpg
825,300,451,jpg
826,300,225,jpg
827,300,199,jpg
828,300,450,jpg
829,300,375,jpg
830,300,200,jpg
831,300,451,jpg
832,300,199,jpg
833,300,300,jpg
834,300,454,jpg
835,300,233,jpg
836,300,225,jpg
837,300,256,jpg
838,300,276,jpg
839,300,450,jpg
840,300,400,jpg
841,300,200,jpg
842,300,450,jpg
843,300,168,jpg
844,300,400,jpg
845,300,451,jpg
846,300,534,jpg
847,300,199,jpg
848,300,262,jpg
849,300,450,jpg
850,300,450,jpg
851,300,476,jpg
852,300,200,jpg
853,300,449,jpg
854,300,399,jpg
855,300,491,jpg
856,300,400,jpg
857,300,225,jpg
858,300,405,jpg
859,300,199,jpg
860,300,450,jpg
861,300,534,jpg
862,300,429,jpg
863,300,400,jpg
864,300,206,jpg
865,300,452,jpg
866,300,259,jpg
867,300,197,jpg
868,300,451,jpg
869,300,450,jpg
870,300,375,jpg
871,300,199,jpg
872,300,534,jpg
873,300,464,jpg
874,300,450,jpg
875,300,450,jpg
876,300,450,jpg
877,300,312,jpg
878,300,534,jpg
879,300,200,jpg
880,300,450,jpg
881,300,449,jpg
882,300,217,jpg
883,300,451,jpg
884,300,514,jpg
885,300,423,jpg
886,300,240,jpg
887,300,405,jpg
888,300,404,jpg
889,300,450,jpg
890,300,424,jpg
891,300,436,jpg
892,300,225,jpg
893,300,451,jpg
894,300,392,jpg
895,300,450,jpg
896,300,199,jpg
897,300,430,jpg
898,300,453,jpg
899,300,369,jpg
900,300,225,jpg
901,300,450,jpg
902,300,200,jpg
903,300,238,jpg
904,300,417,jpg
905,300,199,jpg
906,300,451,jpg
907,300,199,jpg
908,300,199,jpg
909,300,199,jpg
910,300,483,jpg
911,300,510,jpg
912,300,369,jpg
913,300,200,jpg
914,300,450,jpg
915,300,199,jpg
916,300,450,jpg
917,300,460,jpg
918,300,179,jpg
919,300,225,jpg
920,300,248,jpg
921,300,375,jpg
922,300,450,jpg
923,300,449,jpg
924,300,400,jpg
925,300,200,jpg
926,300,450,jpg
927,300,468,jpg
928,300,196,jpg
929,300,450,jpg
930,300,278,jpg
